year,airport_rows,unique_airports,total_enplanements
2001,536,536,660082225
2002,509,509,643776534
2003,513,513,650808785
2004,517,517,705496030
2005,514,514,736202261
2006,522,522,738364097
2007,527,527,762397236
2008,503,503,735296907
2009,494,494,696769131
2010,377,377,712025632
2011,387,387,724158444
2012,514,514,731800470
2013,506,506,738935380
2014,510,510,761288443
2015,503,503,799311160
2016,506,506,829292893
2017,511,511,857213313
2018,519,519,899710601
2019,522,522,935693527
2020,446,446,368245490
2021,478,478,655025664
2022,506,506,847265216
2023,502,502,943968466
